"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","Isocitric acid (Isocitrate)","Leucine","Lysine","Phenylalanine","Tryptophan","Asparagine","Aspartic acid","Ornithine","Acetyl coA","Coenzyme A","Adenosine triphosphate","Adenosine 5'-diphosphate","Adenosine 5'-monophosphate","FADH","NADP","NADPH","NADH","NAD"
38,"X1","A1","HSD_1_005","T1S","HSD","1","5",-0.634779544691964,-0.65785260081546,-0.597862582710746,-0.655015217489526,-0.865503273409621,-0.666071174055871,-0.6843508072658,-0.621351010952226,-0.669978627494727,-0.855396137565543,-0.235798978693817,-0.592294730811021,-0.519099767163123,-0.376363567696433,-0.430583130457614,-0.322014159436172,-0.982773234968986,-0.579866203664553
13,"X2","A2","HSD_1_050","T1M","HSD","1","50",0.159887776230808,0.151628942549449,0.274582404888095,0.213038629951572,0.153113726285871,0.210563440866082,0.0567449257501238,0.172133339132921,0.113007917421689,0.114403463816722,0.261507496001496,0.15732312416159,0.171238646713494,0.310661552130771,0.08345136553024,0.084123605114264,0.320978605409008,0.212283138795759
6,"X3","A3","HSD_1_100","T1L","HSD","1","100",0.337854829480439,0.32239315068892,0.440314448622743,0.403249500414116,0.369264251003932,0.482497706227325,0.422011728627178,0.415005410243958,0.33453557235471,0.138462754405372,0.0249912484795436,0.221044400968059,0.306492192243526,0.429429964341053,-0.0198081439471407,0.168234415607065,0.800119648937886,0.352252912659422
7,"X4","B1","HSD_2_005","T2S","HSD","2","5",-0.66921020062636,-0.703873373572282,-0.600314096082745,-0.736777377870515,-0.842826283171721,-0.720902519667168,-0.559658867131805,-0.773754679654366,-0.718126466800365,-0.807854290482849,-0.308190098495009,-0.536596260603623,-0.50581003587388,-0.11463670314209,-0.517482686900634,-0.221820861501247,-0.944042355421586,-0.640966570085863
54,"X5","B2","HSD_2_050","T2M","HSD","2","50",0.137496004474397,0.0975184647455887,0.187244348605494,0.179434864432829,0.147980838957984,0.149450186464852,0.215404227665149,-0.0289425542073793,0.096070798656164,-0.13586333266497,0.0860332301757301,0.17056731004392,0.242084935544875,0.155064147107321,0.0483731964081642,0.157738340954518,0.623786854223865,0.242119171110948
47,"X6","B3","HSD_2_100","T2L","HSD","2","100",0.342847648460249,0.27783570723257,0.475375714896485,0.38763843788622,0.398624515568818,0.396832948280455,0.132973606020727,0.193279460022665,0.334731490415764,0.351914999835409,0.129252228530733,0.342249027490868,0.395409400885839,-0.834066519336659,0.186563529269356,0.10654339408359,0.750656598547608,0.470078100152434
22,"X7","C1","HSD_3_005","T3S","HSD","3","5",-0.603274869810813,-0.570317008924034,-0.393614795586986,-0.654629204366371,-0.731850734157311,-0.702045908443408,-0.62300852531875,-0.77353704960414,-0.565353338622872,-0.134992561039768,-0.330514500527721,-0.402239925519433,-0.445676334798034,-0.379002820918748,-0.368771454292933,-0.203768470569413,-0.799203918378675,-0.533308518863868
49,"X8","C2","HSD_3_050","T3M","HSD","3","50",0.0639246640723785,0.0162103020673259,0.160204976010376,0.110591925862584,0.182754681266135,0.171404129709794,0.314374352445832,-0.0237671066085712,0.239355575011911,-0.507378813522526,0.159392116117308,0.306461624316527,0.279667303157434,0.304568798479083,0.137222662454916,0.116314607277837,0.959739886334275,0.316420693130006
51,"X9","C3","HSD_3_100","T3L","HSD","3","100",0.241081926877455,0.214067315533459,0.405130276490814,0.309315343984613,0.377641367511224,0.39195370653262,0.547607650794014,0.165598127489782,0.349379211493225,0.102621227179816,0.127029745003683,0.378166777136942,0.38992607092125,-0.0606710499458916,0.143744543861177,0.068102533608581,1.01631491176417,0.45508977248063
21,"X10","D1","HSD_4_005","T4S","HSD","4","5",-0.628421099274282,-0.610062980274151,-0.419966337864388,-0.747134346851961,-0.687649610623607,-0.699596804431708,-0.678567670256649,-0.586980107252246,-0.503606958280655,-0.174837321979493,-0.373060003256491,-0.601630143298257,-0.550888475526277,-0.736591845243466,-0.475988601035249,-0.253375721773758,-0.621274886036573,-0.615747774383046
5,"X11","D2","HSD_4_050","T4M","HSD","4","50",-0.0133214946024243,-0.0390812323170557,0.000559999920893617,0.00177295265160016,0.0297785937163528,-0.0116567047759499,-0.0985593823787219,-0.183595605928185,-0.292519525717166,-0.253741286999647,-0.429081595343034,-0.189034273230862,0.0205540017005719,0.224874879786994,-0.312787461309568,-0.0799604444000748,0.186203049485407,-0.133607771654851
4,"X12","D3","HSD_4_100","T4L","HSD","4","100",0.2587157096788,0.244773222738189,0.400194074624009,0.340495427385952,0.329588726688976,0.367761231543859,0.436798019106385,0.228079044062733,0.16345419084919,0.0926791825377533,-0.111221819023041,0.136157874716255,0.211637152429083,-0.253219930186995,-0.0520604966076279,-0.504168084037767,0.654921394426994,0.226527817615641
2,"X13","E1","HSD_5_005","T5S","HSD","5","5",-0.825174408527391,-0.839849435691752,-0.765341617402255,-0.871706583533931,-0.930046889822302,-0.726570739820918,-0.637499001205877,-0.650117243549904,-0.706147730926211,-1.26666707929758,-0.565260189095774,-0.635976940171559,-0.69052279706735,-0.804392702708564,-0.611602229025311,-0.724324689401904,-1.19492879720719,-0.789949101164802
14,"X14","E2","HSD_5_050","T5M","HSD","5","50",0.0908530618557117,0.0854471574079039,0.177661870438414,0.123884485797917,0.119654286554916,0.135700320663844,0.275127719786617,0.0704002887678428,0.255831218571831,0.242060729125987,0.0851641109754513,0.232904101319194,0.232412018546515,0.307141979611665,0.159468340580244,0.232550377358722,0.644090571612003,0.25043717226731
44,"X15","E3","HSD_5_100","T5L","HSD","5","100",0.249989757063291,0.252946816605691,0.408224904209117,0.324564800613986,0.366239762520857,0.402444743600681,0.554895873543708,0.292504269481294,0.508492149455205,0.132651637730926,0.214025569469572,0.427123565590796,0.386107263931273,0.288821020082419,0.203320326871203,0.0888783540908178,1.11294076627994,0.503355708104691
36,"X16","F1","HSD_6_005","T6S","HSD","6","5",-0.684764074983218,-0.656582511794992,-0.507270300244532,-0.732520337712424,-0.782244096195305,-0.638018033453954,-0.480808545818978,-0.650135483605412,-0.548830897639093,-0.195895622639324,-0.22732231602544,-0.465318909906641,-0.470882873909893,-0.405347323889235,-0.398553063470461,-0.0576730334173101,-0.932594204842855,-0.560666721986653
34,"X17","F2","HSD_6_050","T6M","HSD","6","50",0.0776604912354442,0.0132208316557181,0.107735139746191,0.1225871082276,0.117221713646571,0.0869907146680848,0.247451395689221,-0.0910996905979546,0.0994765559122395,0.122675547884588,0.0244816018674836,0.160196527293326,0.173181110611736,0.130346514974145,0.0218070174578484,0.180707480690126,0.547742335684922,0.209417799583784
15,"X18","F3","HSD_6_100","T6L","HSD","6","100",0.238387682267806,0.214980613864531,0.117646868479466,0.29801094319106,0.352538251551155,0.260689281056758,0.459738446500963,0.099417966834852,0.183203661833075,-0.441752809345868,0.0353365972177948,0.179445387168057,0.283586510649714,0.330407954909974,0.0100219467759697,-0.318172901419778,0.745028275333652,0.162159334018147
33,"X19","G1","HSD_7_005","T7S","HSD","7","5",-0.571980555650851,-0.582594530970147,-0.514888937288577,-0.602303413472155,-0.570731534000413,-0.576333894147492,-0.651877574177839,-0.723454954013885,-0.449535551614595,-0.168896986002591,-0.389753007501681,-0.396557813030429,-0.456462404416216,-0.232676455921049,-0.370424449074735,-0.274579945470542,-0.700505077678543,-0.510244007095052
32,"X20","G2","HSD_7_050","T7M","HSD","7","50",0.125859872947843,0.0855152148067662,0.238986615503111,0.163751546149165,0.198130522374438,0.216646302326574,0.164601054354138,-0.0460290727936745,0.211394155519208,0.135977777094173,0.266540151071017,0.239483332836131,0.251239359134668,0.22386708478406,0.166785124545882,0.225384984928446,0.620398615082586,0.281684146925422
9,"X21","G3","HSD_7_100","T7L","HSD","7","100",0.0866382923472306,0.131079629053906,-0.0445458614568031,0.180834897606689,0.00101964591576831,0.0531306715090922,0.15466763361132,-0.290133351262868,-0.170527877587002,-0.976832536746,-0.869544987400082,-0.271816376986329,-0.49150559805017,0.0874318592294028,-0.679003791957613,-0.319041638010179,0.342021362301971,-0.370250795500294
