"RunOrder","Tube","Cell","Sample","ID","Diet","Population","PoolSize","2-Hydroxyglutaric acid (2-Hydroxyglutarate)","2-Oxoglutaric acid (Ketoglutaric acid)","5-Aminopentanoic acid","5-Dehydro-D-gluconate","Aspartylglycosamine","CDP-Ethanolamine","CMP-N-acetylneuraminic acid","Cytidine","Erythrose-4-Phosphate","D-Gluconic acid","Sedoheptulose 7-phosphate","gama-Aminobutyric acid","glucose 6 phosphate","Glutamic acid","Glycerol 3-phosphate","Glycerylphosphorylethanolamine","Glycine","Guanidylic acid (guanosine monophosphate)","Guanosine","Inosine","N-(1-Deoxy-1-fructosyl)histidine","Oxidized glutathione","Proline","pyruvate","Taurine","Urate","Valine","Decanoic acid (Capric acid)","Dodecanoic acid (Lauric acid)","Tetradecanoic acid (Myristic acid)","5-Tetradecenoic acid","Hexadecanoic acid (Palmitic acid)","Hexadecenoic acid","Stearic acid (FA 18:0)","Oleic acid (FA 18:1)","Linoleic acid (FA 18:2)","alpha Linolenic acid (FA 18:3)","Arachidic acid (FA 20:0)","Eicosenoic acid (FA 20:1)","Eicosadienoic acid (FA 20:2)","Docosanoic acid (Behenic acid, FA 22:0)","Erucic acid (FA 22:1)","Docosadienoate (FA 22:2)","Tetracosanoic acid (FA 24:0)","Nervonic acid (FA 24:1)","2-Aminoisobutyric Acid","5,6-Dihydrothymine","Dimethylarginine (A/SDMA)","Kynurenine","Argininosuccinate","S-Adenosylhomocysteine","2-Hydroxyisobutyrate/2-Hydroxybutyrate"
38,"X1","A1","HSD_1_005","T1S","HSD","1","5",0.0977648589345339,-1.24788444285481,-0.68043281891323,-1.11451677789743,-1.44482582388933,-0.387231558488449,-1.77507879102471,0.321655754104166,-0.96563456706027,1.19294226787369,-0.116483586197774,-0.795321147750369,0.462702350770759,0.328049370903065,0.0500006389548817,0.152702950593946,-0.824922266287973,0.216745785270822,-0.509907835154801,0.672646313823704,-1.12547762871659,-1.11937390205136,0.405785129953137,0.0438872136189845,0.484090669563403,0.835615864289996,-0.681459988934235,-0.282564837061501,1.77609093657183,2.06895158871662,1.85646992012479,2.20014872776754,2.29038211370121,1.62566734785598,2.28720503666166,1.84229188193425,1.09575794536215,0.21184259440955,-0.116985237816685,-0.125410973435153,0.372634545976775,-0.462680555416313,-0.90858241679723,-0.331042962755799,-0.671918818926714,-0.771080045952283,-0.187275378178266,-1.92073785597719,-1.30851944858163,-1.27009227426467,0.10995925271301,-1.85654912006569
13,"X2","A2","HSD_1_050","T1M","HSD","1","50",0.0111189612459732,-0.921281622525282,-0.48927695157488,-0.980174520039979,-1.54922685817392,-0.345167595632859,-1.6886809029922,0.420761508055367,-0.840324418316919,0.888978790083618,0.0464314322293582,-0.861321444262297,0.653011359048627,0.354721181398235,0.253119265942583,0.216699722906935,-0.784955247494636,0.228004900789796,-0.14797658940925,0.938724219750453,-1.14030537663088,-1.01809199592579,0.468606094613132,-0.100782157225417,0.361878855391063,0.671662192745674,-0.488911316532344,-0.080768766208684,1.84907839522972,2.07637692600352,1.96112089853054,1.95441466155621,2.30729864991165,1.16916392497776,2.29257956640619,1.88785938803697,1.16658956184184,-0.166998358629164,-0.100764144951731,-0.120964927299836,-0.249107235117459,-0.911355689127534,-0.947426397697162,-1.36900627187232,-1.0798490971675,-0.835785170030126,-0.110419167713684,-1.03150660880814,-0.841705445650502,-0.935680288941422,-0.0135876391571799,-2.0267982515861
6,"X3","A3","HSD_1_100","T1L","HSD","1","100",-0.225398488668765,-0.732998175304401,-0.113034701481932,-1.25629464848439,-1.15815428212007,-0.276111566302413,-1.46846476056008,0.485720884062709,-0.545101398173969,1.34908332006048,0.3496156710011,-0.841549020636839,0.993880943135359,0.281733431542226,0.307848294587241,0.334821632326966,-0.763124978159786,0.246881219339561,0.227134607444165,1.08808668500233,-0.723460776053336,-0.727614155496557,0.731349910218846,0.372677709707556,0.66890942217617,0.986276414452949,-0.111870200579504,-0.152583265518886,1.66931744238621,1.95095368524077,1.79901598669291,1.78813425216903,2.18399249477404,0.819509931057643,2.07651724324813,1.73343595836652,1.03349522784802,-0.608548109959326,-0.413146459745366,-0.352041728512233,-1.02569490799606,-1.4603709983999,-1.35563254692524,-2.04204229424637,-1.83971587627127,-0.829314834442413,0.0697525098519893,-0.898609774054725,-0.520472147601676,-0.876848421161168,0.000924182477104019,-2.23087054231337
7,"X4","B1","HSD_2_005","T2S","HSD","2","5",-0.248223879015371,-0.347610280410521,-0.589414145788623,-1.19857326893211,-1.72440498528918,-0.205328724765499,-1.73977556552796,0.42500583631457,-0.833613125005956,0.735986964849064,0.112865338147145,-0.803158498709568,0.671200584107417,0.231759984602163,0.303975688140876,0.0131213238902674,-0.820219027880671,0.322993066591144,-0.32651601131209,1.22763205731745,-1.20990955725188,-0.899500792962487,0.538080472430582,-0.0238959162672794,0.422489902684617,0.953359890451233,-0.584999744642572,-0.223307285902163,1.6761264480215,1.91429197490341,1.79509852484589,2.12844846259008,2.13471058864719,1.59743883889607,2.10921968284838,1.59475488279545,0.803268362820048,0.0156500959542534,-0.260638976012826,-0.338930303694164,0.237577689866989,-0.526658537283546,-1.08059265726893,-0.248207080565112,-0.786748024010671,-0.799981252982347,-0.242862954617896,-1.65565210922788,-0.908156626430076,-1.02753639972004,-0.190185812238898,-2.12045511799946
54,"X5","B2","HSD_2_050","T2M","HSD","2","50",-0.00880028936337585,-0.651235213398393,-0.581624283398423,-1.19073618439785,-1.45868672892505,-0.584433295732843,-1.7920703647913,0.343085338806079,-0.602509833355084,0.564677782850011,0.0134622549189407,-0.926494975922719,0.866762747529615,0.302076883188063,0.24837660668349,0.0354645463420509,-0.750559482942456,0.138335027148441,-0.352076886306127,0.977603013967043,-1.07975524906178,-1.02860283090669,0.426156406220604,-0.0608831854532292,0.351759513263987,0.64394920400662,-0.581177155538764,0.0699111110904873,2.04329839987976,2.19615182659885,2.1617246852265,2.07916515275335,2.38235043412191,1.2786507638114,2.35852668400412,1.92636287822942,1.11692313111018,-0.145454946960056,-0.0106814420092878,0.0515856655795162,-0.302000988783154,-0.809017454519341,-0.751317624080214,-1.35700926789667,-1.00621630201356,-0.897277097112497,-0.147788681518876,-1.20578256931021,-0.847934308934424,-1.10027039612133,-0.122242497463934,-2.22372052111282
47,"X6","B3","HSD_2_100","T2L","HSD","2","100",-0.0491121963337875,-0.478654052363392,-0.0276705768348569,-1.11284894656227,-1.32335966793332,-0.104764127281656,-1.24788835729348,0.681816622350923,-0.261110712367169,0.963160686747079,0.403790361185603,-0.58144710421615,1.255984501267,0.570216178590433,0.703657685652124,0.364598136179231,-0.745714043636134,0.302665081105585,-0.021960147640951,1.6301298764198,-1.32966647256053,-0.471670618819143,0.853587657352204,0.147250617564628,0.67459310054513,0.997040269128386,-0.0204415396415252,-0.246262541215069,1.65156754917651,1.8683425356345,1.82320100830913,1.68003480237292,2.07517190571782,0.731311850684192,2.0022634970711,1.59175017551636,0.847209434427191,-0.916228596794268,-0.548917068432397,-0.561854402529773,-1.12744360289706,-1.70635530738772,-1.52307349695636,-2.37021412470715,-2.15666623115752,-0.578755686367339,0.0370541014486649,-0.862158483205032,-0.519884662845311,-0.853445412429271,-0.0953274398510535,-2.01350201418681
22,"X7","C1","HSD_3_005","T3S","HSD","3","5",-0.116467756897663,-1.40261684694817,-0.689733010708174,-1.38283310909185,-1.58221998009238,-0.0605609284624551,-1.84429193097486,0.309681878096846,-0.840807256865213,0.87416490187887,-0.0528845726816156,-0.800444243609349,0.672498500684282,0.27316472156981,0.161582238653639,0.200502133891326,-0.915642674685219,0.327285115416996,-0.44957619673988,0.515778856900743,-0.916216065737823,-1.09566610768604,0.306952952240025,-0.398621734282438,0.433849022898467,0.830077199195824,-0.693004640954063,-0.252417792714766,1.66375628178209,1.96874976913003,1.83648819478258,2.19107024888204,2.19237613180877,1.64741874330824,2.20213117736664,1.76496331960692,1.08820854147195,0.23208729644753,-0.102682950298218,-0.146056269157524,0.526826501103627,-0.349856950644511,-0.826941003104634,0.0189132423002469,-0.443143629005551,-0.797201708035783,-0.150556178365245,-1.48860836470084,-1.12954997632867,-1.21012181261089,-0.112918209018282,-1.9868850690154
49,"X8","C2","HSD_3_050","T3M","HSD","3","50",-0.0402705836609893,-0.44546718261036,-0.361408596996631,-1.13177498146509,-1.22956355546987,-0.132144195112637,-1.46199209498511,0.528227164266636,-0.375539611653863,1.15872800588114,0.134979765560477,-0.698224190402303,1.12530800309623,0.494175446373847,0.405543131009043,0.42706610425676,-0.75275030656152,0.420196650521306,-0.0176194570094275,0.937568896082116,-0.675597132841306,-0.86336560179404,0.754330876487624,0.318247037400093,0.559204841965302,0.940005238474362,-0.362116074974193,-0.260816217265251,1.52023873207485,1.80948836443647,1.65950593147913,1.70706039970314,2.04745040556381,0.864252294959617,1.99454473818319,1.66142817536878,1.15167097782128,-0.460367578548452,-0.482125467527018,-0.337865186981325,-0.631804339622267,-1.37213257774092,-1.25915129803103,-1.69038828898381,-1.53223629418402,-0.697862940945167,0.0272568697396114,-1.37080107997252,-0.470951488278102,-1.26087187998727,-0.0697142098647117,-2.2015556372356
51,"X9","C3","HSD_3_100","T3L","HSD","3","100",-0.00242404768437332,-0.776928117999638,-0.611319505006883,-0.995060434928576,-1.41551552804143,-0.330265910463722,-1.72193814578814,0.468354792996275,-0.363900929061843,0.723453120087946,0.021518710424659,-0.716367196597044,1.12545586448895,0.469036268594138,0.29585884213937,0.308652756922727,-0.679098736863576,0.227058988371439,-0.284936793587847,0.910413670748647,-0.838867905836342,-0.929228477947485,0.490668434139019,-0.185742299050948,0.431490838736045,0.603971149972291,-0.610619268670049,0.0249587757008101,1.87245682491252,2.05570697104905,1.95713784896955,1.918475130987,2.25899748190392,1.0769246587516,2.21832116938544,1.88099192687529,1.30030522617694,-0.493404268089201,-0.231894084584568,-0.146644452123216,-0.576495575825284,-1.10901657371679,-1.05093470764161,-1.82872615314071,-1.31737791735667,-0.710751608657693,-0.00765422733405696,-0.955742182783642,-0.563256991600045,-1.06132251103544,-0.057398572408716,-2.06737632850808
21,"X10","D1","HSD_4_005","T4S","HSD","4","5",0.0777054121811203,-0.924519442311909,-0.752895573075222,-1.36421082197795,-1.60831585269922,-0.358706890143683,-1.65745023777609,0.377003293549841,-0.881034915889575,1.02614829031095,-0.0358667995595017,-0.877462666335441,0.578919172571474,0.279519930735955,0.0672200760892983,0.132499973472603,-0.881975956585083,0.191044680034251,-0.704731723579996,0.41228740462909,-1.21752031502902,-0.888727009488709,0.179354415840741,-0.438278998878479,0.305072840912627,0.758125117236676,-0.752764000932455,-0.291270965100512,1.53977979280434,1.9947942184345,1.72376898676633,2.28929094996365,2.18511400123437,1.84137413341373,2.21729637407492,1.75219263584006,1.01272467223659,0.289960719249741,-0.0699272359727052,-0.289921043311765,0.473168184062919,0.257442483283651,-0.861429840907525,-0.0873490366570957,-0.329102696068149,-0.87011166792889,-0.0175839621168121,-1.30828516343173,-1.64128891549619,-1.051712301179,0.0614868246878366,-1.86085055118456
