"Sample","Strain","Population","PoolSize","Age","Histamine","Glycine","beta-Alanine","Alanine","Serine","Threonine","Hydroxyproline","n-Glycylproline","N6-Acetyl-Lysine","Kynurenine","Argininosuccinate","2-Oxobutyrate","2-Hydroxyisobutyrate/2-Hydroxybutyrate","2-Hydroxyisovaleric Acid","2-oxo-Isocaproic Acid","N-Ac-Alanine","n-isoButyrylglycine","2-Hydroxyphenylacetate","n-isoValerylglycine","3-Methyl-3-Hydroxyglutaric Acid","Asparagine","Aspartic acid","Citrulline","gamma-Aminobutyrate","Glutamic acid","Glutamine","histidine","L-threonic Acid","N-acetylaspartate","Ornithine","Phenylalanine","Proline","Tryptophan","Tyrosine","Valine","Salicylic acid","Aspartylglycosamine","lactate","Xanthurenic Acid","N-Acetylneuraminate","N-(1-Deoxy-1-fructosyl)histidine","Biopterin","Neopterin","Pyruvate","Acetylphosphate","Phenylpyruvic acid","trans-Aconitate","6-Phosphogluconic Acid","2-Hydroxyglutaric acid (2-Hydroxyglutarate)","2-Oxoglutaric acid (Ketoglutaric acid)","Citric acid (Citrate)","Isocitric acid (Isocitrat)","L-Malic acid (L-Malate)","Azelaic Acid","Decanoic acid","Dodecanoic acid","Myristic acid","Myristoleic acid","Palmitic acid","Palmitoleic acid","Stearic acid","Oleic acid","Linoleic acid","alpha-Linolenic acid","Arachidic acid","Eicosenoic acid","Eicosadienoic acid","Eicosatrienoic acid","Arachidonic acid","Docsanoic acid (Behenic acid)","Erucic acid","Docosadienoic acid","Docsatetraenoic acid (Adrenic acid)","Docosapentaenoic acid","Docosahexaenoic acid","Tetracosanoic acid (Lignoceric acid)","Nervonic acid","Gluconolactone","5-Dehydro-D-gluconate","glucose","D-Ribose","D-Ribose 5-phosphate","D-Ribulose 5-phosphate","Sedoheptulose 7-phosphate","galactose 1 phosphate","glucose 1 phosphate","glucose 6 phosphate","Phosphoenolpyruvic acid","Indole-3-Propionate","IndolePyruvate","o-Phosphoethanolamine","CDP-Ethanolamine","glyceraldehyde 3 Phosphate","Glyceric acid (Glycerate)","Glycerol 3-phosphate","Glycerylphosphorylethanolamine","LysoPC(15:0)","LysoPE(0:0/16:0)","LysoPE(0:0/20:1)","LysoPE(0:0/22:6)","Methionine","PE(18:1/0:0)","5-Methylcytidine","Adenosine","cAMP","5'-Phosphoribosyl-N-formylglycinamide","Adenine","Adenosine 5'-diphosphate","Adenosine 5'-monophosphate","Adenosine diphosphate ribose","Adenylosuccinate","CMP-N-acetylneuraminic acid","Cytidine","Cytidine monophosphate","D-Erythrose 4-phosphate","D-Gluconic acid","Guanidylic acid (guanosine monophosphate)","Guanosine","Hypoxanthine","Inosine 5'-monophosphate","Uracil","Urate","Uridine","Uridine 5'-diphosphate","Uridine diphosphate glucose (UDP-glucose)","Uridine diphosphate-N-acetylglucosamine","Malondialdehyde","Carnosine","Phenylacetylglutamine","N-Acetyl-Aspartyl-Glutamate (NAAG)","5,6-Dihydrouracil","5,6-Dihydrothymine","4-Pyridoxic Acid","Xanthosine","Xanthine","Ascorbic Acid (Vit. C)","Reduced Glutathione","Oxidized glutathione","Xylonate","2/3-Phosphoglyceric Acid","Allantoin","Pantothenate"
"CA1","CRB","A","5","14",-0.481371105208657,-0.475717023516689,-0.421672195748678,-0.595021885589818,-0.472673091993125,-0.814204641151395,-0.686028020353826,-0.499719404254166,-0.63782948902541,-1.06459282691507,-0.782320863633674,-0.46379863148783,-0.59923687416244,-0.85178874346227,-0.677449517614001,-0.728494753043882,-0.780789460215508,-0.880242514838574,-1.3410878506698,-0.551493535780626,-0.587989097541282,-0.573652886042821,-0.156335282933775,-0.668408250688172,-0.629311488966876,-0.472343261732143,-0.471914905953948,-0.707973988991976,-0.983157161312911,-0.357192589736072,-0.61568610064963,-0.609749335526611,-0.684866097059346,-0.743842004502978,-0.58368021867614,-0.436405293658257,-0.440037503879881,-0.739675755761919,-1.08282838623041,-0.530788341053166,-0.36857097310456,-0.728698609043922,-0.660940309307363,-0.135959773127571,-0.746080935184942,-0.669282351229969,-1.13663559448696,-0.29708614696762,-0.59363435408538,-0.425869565280593,-1.33863333628343,-1.00506406600862,-0.367306556165413,-0.834183521698545,-0.425909495499159,-0.477403484414078,-0.45559741557378,-0.516141383055344,-0.23831613253016,-0.49068110855486,-0.132499506807578,-0.558796374761005,-0.535321097781202,-0.759441869646833,-0.298489030047722,-0.531097980436509,-0.609092866554763,-0.390430353240466,-0.238242751635304,0.207711917447019,-0.0303517943653606,-0.525104018411511,-0.187785807081155,-0.434288678325191,-0.411103690322057,0.274836709817203,-0.176031881348339,-0.615087037675335,-0.168114390829198,-0.657747232437019,-0.353474200635713,-0.628017108817609,-0.618809502555094,-0.400518959436283,-0.540794225928491,-0.335636096618714,-0.477642245557701,-1.10914881378232,-0.461978138577209,-0.447194293721027,-0.693215620861371,-0.50522802061611,-0.97091961662061,-0.263316681117562,-0.948089623095514,-0.308426426989636,-0.430731594124577,-0.307833874461573,-0.536390328971722,-0.503820744606221,-0.479228101901012,-0.520379769357141,-1.158648675441,-0.450081677477135,-0.500028911563128,-0.694560384762956,-0.599222344001967,-0.437238239068811,-0.667272528640016,-0.821116062893548,-0.43293337962352,-0.284033580190872,-0.669166297780302,-0.785416741681681,-0.516668099694342,-0.687982826885488,-0.452143413460142,-0.627726337888443,-0.453025673903138,-0.765784634146756,-0.442473089409358,-0.394652389360647,-0.463243201091987,-0.64140464284178,-0.617857323511169,-0.854296017033303,-0.52465752058351,-0.717172902627935,-1.31025524093444,-0.77525848529385,-0.61568446870284,-0.456581969970017,-0.521180613434667,-0.109095506463604,-0.46326268168054,-0.117120385166315,-2.09709510272275,-0.26843657730767,-0.612419182678193,-0.183284075425912,-0.473085397211652,-0.737425067459655
"CA2","CRB","A","50","14",0.285810104838704,0.243522006358812,0.180011472921756,0.172331603568657,0.238751016663278,0.0318733619621954,0.439439872732797,0.247441474061854,0.242327623148486,0.0237968195834579,0.199903016793744,0.138612508295687,0.0204608036491551,0.373564881575307,0.278009366449472,0.333818815780607,0.224578627818977,0.0253625299361877,0.783439388630558,0.142058155021343,0.221454571528215,0.125656398826126,0.203120013137413,0.137485929825663,0.144772374404393,0.258601640583382,0.286194796402804,0.246209924196702,0.394897761183855,0.326457232510299,0.32071596626919,0.149371611711033,0.284090543269204,0.648875259872311,0.365993847473622,0.280757528316719,0.12946479496511,0.222200386331692,-0.0124620435581999,0.0558058798387115,0.531317329789768,-0.0380240213789698,0.299956569656112,0.0778828207803146,0.235518015240653,0.552599290450659,0.158468933831332,0.647900966533738,0.0261432292792367,0.157879233441946,0.429927143918483,0.447534844750364,0.212525364551038,0.0661945861431832,0.133099376521167,0.263610767542084,0.176284900238373,0.281938842380503,0.18319886138398,0.215489086441006,0.021276029978532,0.182130052729783,0.223558842504068,-0.0594662745521264,0.0175357077206328,0.109206957916372,0.0626766153229124,-0.216070042996332,0.173314604965691,0.0548763542457982,0.0125830968425511,0.0827731872472501,0.34627089709962,-0.00585806489285545,0.332609917382579,-0.245562888052779,-0.00395189646776384,0.251326798611473,0.00882327062209232,0.154190154392927,0.275463347142714,0.182049682927985,0.408044586417255,0.349808540287597,0.328903170699834,0.335457519414461,0.385731838381912,0.431954751604217,0.39684269230685,0.393480552280595,0.14484619610506,0.358042892703466,0.435036722478379,0.337000010113492,0.486086438200886,0.230476972421374,0.156449877347203,0.250912327012534,0.229243077000679,0.298665779402434,0.440344451218644,0.226951747562096,0.450268195822726,0.276673935059248,0.584816346102355,0.395241731355602,0.279234931242263,0.30013382145789,0.274327578138355,0.304997963946893,0.173183022314778,0.800507255672296,0.126071433697165,0.314007635760928,0.37468397823105,0.193830435946869,0.280725682283251,0.288055074301042,0.339561944656307,0.250658324697651,0.2913687148871,0.166407768800856,0.321192217742608,0.377052280673993,0.324574944846404,0.569084782900553,0.238091626017271,0.403270423754576,-0.38093804691375,0.272129694832097,0.1664825719901,0.27873692014125,0.295369426511682,0.0313362992216666,0.283463852468475,0.92403600579182,1.54152935654998,0.810798957586094,-0.00366551791562664,0.540726084770348,0.245374550420662,0.243694359356343
"CA3","CRB","A","100","14",0.422095131825035,0.422188245443428,0.330370031324549,0.289622531863563,0.328504155450447,0.0765575816102109,0.351280836882858,0.251169038179637,0.273874897462957,0.262783545165021,0.440129004568997,0.272507165235018,0.161395053502385,0.664568496928919,0.350788484044329,0.478226223833381,0.374859323906283,0.12368482177834,0.905425212160183,0.447475272472133,0.414661867780985,0.205884657533224,0.570902813042905,0.281043080779869,0.263311714739195,0.396489649652509,0.386556672400597,0.387119216031667,0.594698672135618,0.451050005432929,0.339693087092761,0.0184604047291037,0.416363616235879,0.847201969905654,0.491375300979028,0.427492708626546,0.413024943765429,0.365285929121531,0.242578621880236,0.219605722088827,0.728490169917993,0.0392309420112014,0.39508766802803,0.224527572910791,0.442629007724726,0.791723960457319,0.282607697856674,0.747846257585749,0.117672831145842,0.279246669310219,0.676000392512756,0.440068328823173,0.359626744453115,0.171903018240553,0.346101190600012,0.266843112098013,0.18006625245657,0.238968500548222,0.185851745198327,0.325803478785135,-0.000167446427377982,0.273676995011179,0.335165888659148,0.0682964368923136,-0.150919529001035,0.100441835580829,0.17931366933706,0.0765539905983874,0.477502743341501,0.0197775045204081,-0.177410836993002,0.132504122559838,0.512521646432456,0.223282586870948,0.496538996028722,-0.111715015673052,-0.220290393545804,0.354036563891293,0.0955964901468347,0.274115432809247,0.376951446353188,0.345962651781303,0.572711774157028,0.514397423862802,0.602014593796286,0.55186929106847,0.648625021590746,1.0840704660528,0.629107036643676,0.607202486725448,0.120160911980606,0.639954091077088,0.735182512554635,0.380309977971129,0.64531937046781,0.393163864285262,0.232483066050321,0.251698909692454,0.316601117700893,0.352443331628842,0.512429958592509,0.383412871715996,0.592160692602685,0.374731006115874,0.979093936015864,0.704947488768935,0.652822876073288,0.376231195685724,0.446582503606599,0.575499815043973,0.252236041718144,0.993825516803955,0.195022892935418,0.478797407530047,0.618605400791266,0.498945926256343,0.340379604144,0.367932414368076,0.46422447693613,0.402391741900709,0.172184077852866,0.103691291281554,0.460054748312532,0.572291239748511,0.594410116339878,0.771951936443271,0.407131070184694,0.462032292552327,-0.105963169325436,0.231575466741267,0.443385262604277,0.377130564293963,0.484188432245186,-0.153082740344649,0.339371520718087,0.933250772084673,1.88138590405512,1.04746074288225,0.257300290622194,0.608203990631334,0.176271173547383,0.628579940174867
"CA4","CRB","A","5","40",-0.444089513170765,-0.545993267635407,-0.418580995166967,-0.604397228563313,-0.644235965593403,-0.55252066742475,-1.16144853926456,-0.455211029288797,-0.512023712465703,-0.602198760688358,-0.735810214030399,-0.568384786913683,-0.40902147836504,-1.10396084746237,-0.791568392218598,-0.88893672721843,-0.633746566809301,-0.655048773568438,-0.881163465132011,-0.49655080865073,-0.634864920136519,-0.628154565675622,-0.399438048338549,-0.572972284276604,-0.57195562613135,-0.560336740156657,-0.43884949672035,-0.701246401214312,-1.00743865080724,-0.458889894140853,-0.703007577757985,-0.496859721269509,-0.690814937399396,-0.664640561811956,-0.724654593304321,-0.56890442581973,-0.651757275103766,-0.831290917273488,-0.540450810783446,-0.905429127894002,-0.924845482864012,-0.356517826591594,-0.709244068629904,-0.607397623690922,-0.495196985314161,-0.589245352231761,-0.546950389397505,0.175178648771741,-0.41761398561372,-0.588393739138186,-0.777893575748665,-0.626686279160073,-0.404227525482415,-0.482324404065231,-0.529519210517371,-0.597802512464749,-0.392457261179957,-0.735261487071607,-0.319140902596361,-0.485679110306333,-0.10898939109212,-0.488185834573862,-0.453207568437825,-0.805309710404963,-0.249675623056201,-0.505210370040872,-0.489825220105919,-0.149916847888787,-0.306621676057196,-0.0715199383270839,0.0154224226673039,-0.579194631166068,0.0693431560214566,-0.161918483244688,-0.590001328131692,0.367783635147168,-0.491583951467732,-0.677929309409843,-0.239802273602157,-0.560514494912353,-0.336758299547423,-0.381443313710687,-0.66652010300742,-0.496838745837758,-0.545828482325831,-0.399019066305833,-0.495850853680938,-1.23114316974384,-0.186704773037111,-0.576711080639521,-0.594087518769432,-0.985831919157094,-0.793413716307927,-0.848825268063409,-0.653654988374897,-0.417896452347369,-0.461163676324627,-0.506432386284629,-0.65685241069286,-1.03969735295078,-0.583738944558139,-0.593330635042279,-1.00797842206221,-0.602122807120683,-1.20833580451611,-0.741929359480211,-0.561102094354469,-0.64965186593746,-0.705250861352744,-0.979638840830035,-0.550830406035403,-1.20239868647598,-0.700749054429699,-0.864111854463153,-0.460501871526707,-0.721445447530312,-0.65833161617373,-0.730414210531823,-0.588939907873077,-0.925319740611045,-0.786754573445704,-0.375082256854418,-0.710067330325845,-0.994117111576441,-1.22836852605015,-1.39872450019139,-0.542858805097667,-0.794508226537614,-0.58508968429071,-0.825664819213012,-0.58703928725331,-0.553348045657232,-0.708825302460975,-0.214802094455341,-0.519048814265239,-1.50160577113876,-1.1302111129548,-1.24844646400902,-0.617223428956005,-0.372760562452121,-0.710629135354527,-0.952117305880072
"CA5","CRB","A","50","40",0.306544409578624,0.182115640802564,0.288707351915022,0.304966847940296,0.171984401925767,0.146635053785484,-0.172524760138041,0.255259321073747,0.292849710748357,0.36073051185003,0.0851206676662484,-0.0821700357299813,0.496814706449574,-0.0252040519439403,0.0679491436329736,0.184117266896831,0.329084888078698,0.208990597751666,0.517930293219099,0.303459881999705,0.122727115065313,0.354675646006754,-0.0780523035068068,0.235224096014475,0.217689745094282,0.235034216367962,0.300776779536186,0.228461855946596,0.249338764824338,0.19446110809497,0.280011050722064,0.15585521515036,0.245455774227123,0.89291140503936,0.224651971763413,0.414373129830196,0.0109501334404118,0.459935544143643,0.350218147270791,-0.0514306703941303,0.270313315584337,0.487780308387509,0.273985421293777,-0.255209784577562,0.254321935420853,0.80501669013289,0.566260555864504,0.213017025667972,0.551593286301477,-0.140670858887081,0.523824887652446,0.516277977958679,0.0571223677769783,0.351632227917345,0.0716766067042611,0.0369678363630124,0.193818918570184,-0.0392671234945192,0.125761383862443,0.269486618036993,0.0778064038815902,0.340561772866416,0.388789873424354,0.0622967204221032,0.247392400815709,0.32967077628545,0.491972429171186,-0.0582410467389729,0.440590244000115,0.202335638474932,0.23563025159285,0.358986307835599,0.386287318338457,0.120320467354264,-0.0698736841773142,0.319756562137911,0.723134007103311,-0.193188123060511,-0.057110469749599,0.358108851625103,0.11671673635892,0.214295029978861,0.521686180686618,0.165589774288927,0.295884947406662,0.106872886061578,0.0768440785149123,0.605146723947852,0.670707905672806,0.439037035008383,0.148663912446894,0.200094116066388,0.427883871203435,0.254234672607875,0.428898037538795,0.278448216873294,0.21141418217467,0.27339781884084,0.255737523826591,0.525785086021703,0.103204212096219,0.434983418976127,0.302184691606842,0.148444986070801,0.0739349960861659,0.34291591473519,0.566363950279818,0.156437762722652,0.227022179266045,0.505251923692829,-0.439974221778015,-0.187763792763946,0.159017115572728,0.156154654265212,0.0619328422575167,0.300413824683847,0.106746472532922,0.250404494334622,0.452783254840966,0.391279210975042,0.24627598744416,0.275451285834544,0.1316809473891,0.18656320091767,-0.00566275695113028,0.442339215761216,0.363050071675357,0.376716418119956,0.508857627269665,0.194940135636532,0.155070144899631,0.260001212015103,0.105402401110767,-0.13287076584519,0.373346163810374,-0.31002997024774,-0.3171152412927,-0.229782917394354,0.100833840750107,0.0837081462540903,0.0164670763197039,0.285266977389292
"CA6","CRB","A","100","40",0.444842169806618,0.336430700782897,0.455821038285087,0.460571987218739,0.303889481840935,0.29165076096342,0.155730216319801,0.459992965389524,0.554343347101608,0.509342655148103,0.458080322535009,0.167781669294494,0.584601790141174,0.168753149609632,0.323923858571502,0.283572641330024,0.416161883461338,0.271501542043972,0.626828855006452,0.469728798278253,0.371843187363726,0.58450063674092,0.31827654242554,0.391866023893072,0.38827886603062,0.364639650654786,0.451937212308701,0.388346017500907,0.386398134108491,0.392396816049454,0.419533517382951,0.342739838356961,0.46324008997074,1.04551013161306,0.411153917688425,0.533649081530434,0.21242697718818,0.521321590608044,0.522334027461715,0.109427028458735,0.307378003017755,0.616981241186749,0.411958564643523,0.0931975725839864,0.534672734047287,0.973162265855785,0.690116656293574,0.464856717329988,0.609485314506279,0.134180634450199,0.743973528662634,0.545116115104212,0.230205691427522,0.699398272390408,0.268629418232191,0.140461216912898,0.317761991684375,0.0593229194147504,0.195660309330029,0.38409797832955,0.0438948819198002,0.448032297169465,0.489468651719981,0.176149980996861,-0.0209419093914969,0.378887789167114,0.589914578603723,0.340373756498919,0.482375879663183,-0.146964900988064,-0.013584878799529,0.517980625430367,0.439826793727012,0.220510094126406,0.129485408717077,-0.0158441974039136,0.565334828715641,0.182739384710938,0.227519490927948,0.470729203805115,0.255762158066229,0.455118218069672,0.676054200204497,0.392466651979602,0.504728622693174,0.34836318130815,0.37354781879616,1.08001863207473,0.747328851558134,0.577342836918657,0.258570356794184,0.381446216519465,0.758663975211422,0.446147646485236,0.665248821303566,0.412499411388452,0.242946712163379,0.212794119162,0.360175628449997,0.518356506353094,0.333003360582056,0.578125683097994,0.600780686708569,0.211856009908029,0.273478985727159,0.451127963762676,0.745316459623994,0.152010087242832,0.433888304207035,0.628723687624486,-0.439740460805564,-0.146783500472981,0.246301811253677,0.174946004815148,0.38029082571733,0.589413549472792,0.075524108337885,0.393381526030557,0.608597198539287,0.503431876289543,0.304141806132362,0.241962590431463,0.304862379565646,0.256121874636354,0.245565769516893,0.678600809205895,0.498537643574734,0.745297575533193,0.612354888723287,0.333311031108432,0.432418206156373,0.351981837934491,0.268281629511504,0.0406881566950958,0.465771955201315,-0.106270619338815,-0.0587113982979837,-0.229068274273502,0.366774408459187,0.220411912182445,0.244942779798532,0.574483092323656
"CB1","CRB","B","5","14",-0.639936850448934,-0.486023113947078,-0.531312408167967,-0.595047894422156,-0.533136061810103,-0.72212594951645,-0.936555148862703,-0.628717194509984,-0.667443251551043,-1.0210701278859,-0.80168628668609,-0.479717727770188,-0.499264042919608,-0.924618379317269,-0.656023878815116,-1.02182649182933,-0.82694117125954,-0.978666972487662,-1.09936562535571,-0.444643937744362,-0.60471584201989,-0.727454251212722,-0.278847642871188,-0.622835525648379,-0.599149877645873,-0.647816812145135,-0.586681540603438,-0.655971315818352,-1.11790634933337,-0.32047388394967,-0.582451641030332,-0.548109243834685,-0.79644432466374,-0.683183155109106,-0.562116349776504,-0.575340383712986,-0.517638921041315,-0.681243640721429,-1.01922933344094,-0.694265795767077,-0.506821189610963,-0.672799351637805,-0.68625138937038,-0.316857924811877,-0.760838939733946,-0.661640608936093,-1.13878937954118,-0.537809132140705,-0.44381105625783,-0.450975897716741,-1.31338643455227,-1.08928246575342,-0.420715460204443,-0.735763187065414,-0.526702967247783,-0.41376790962611,-0.434764225497917,-0.474578222995319,-0.229458794365977,-0.461755952083719,-0.12772694119952,-0.530130290706249,-0.566562655405083,-0.844848649351659,-0.239213187695874,-0.503351485107945,-0.755758894846741,-1.04728586186198,-0.347387221060372,0.304273888919621,0.120013665446966,-0.552291065883501,-0.317001269410847,-0.459446247395062,-0.566587763689848,0.479774560870935,-0.0553951308089267,-0.616766477042853,-0.268549107770196,-0.513216727850398,-0.365195002963393,-0.683349799359174,-0.801906283134713,-0.508946334805934,-0.80430932812494,-0.512328679475302,-0.632313716835216,-2.43136810851624,-0.646131442191066,-0.610901967340927,-0.731876765271687,-0.544406626359883,-1.22626297489022,-0.479636638293907,-1.07147773952721,-0.323839919059357,-0.436147949684895,-0.258376378992165,-0.554331144382427,-0.445507427955241,-0.503467808994253,-0.518385126488413,-1.02556890637891,-0.50296389935454,-0.590349897732692,-0.999224665082032,-0.648094991923005,-0.539527035529781,-0.830703401656987,-0.820915788745704,-0.543773767327344,-0.311980291802976,-0.687580935805554,-0.733793857032881,-0.631832568467991,-0.657204237594531,-0.503331101124092,-0.69214390650306,-0.469423992439423,-0.843849329756878,-0.418552942558236,-0.406494095720998,-0.509924062889958,-0.551112171945839,-0.710233859026919,-1.0503669746221,-0.563047406139299,-1.39481349029903,-1.39600578331343,-0.680993593409126,-0.638428207556939,-0.633471285263566,-0.485286618961682,-0.0839684789082198,-0.488774208683173,-0.0960127982381991,-0.879444602617292,-0.383965983949919,-0.547178568753769,-0.307766489858997,-0.573611075205272,-0.86295001047725
"CB2","CRB","B","50","14",0.260410282662876,0.280936700637674,0.247431674588753,0.191865635810045,0.181860923962552,0.00852830397711024,-0.0766457994685563,0.289166978953824,0.449107473541339,0.150833929064325,0.188422881999526,0.197132003516232,0.117739574671454,0.321179821678582,0.208588247118646,0.204876532806491,0.109953039320333,-0.0178737140478695,0.667767713326417,0.0908850307774829,0.205935331457898,0.00740772030880876,0.359050263971413,0.194565775574977,0.182502135408418,0.205147295892009,0.254328110755269,0.208361998004638,0.338678282940055,0.329683408078592,0.263983474080154,0.293870316156032,0.253555821062198,0.692991378699982,0.366039914084276,0.227977776138946,0.152906046846536,0.259253544326076,0.126601281996128,0.0469350796704644,0.602095165247514,0.0203098620684994,0.281949930642861,0.308784867274554,0.280781134660367,0.602886196374111,0.0974808601456498,0.480334209449777,0.0976440710855222,0.197158916417388,0.361940662891647,0.37047239579582,0.297897190591722,0.230602083059352,0.202485253371991,0.290491735199747,0.174944392792101,0.25988720331399,0.165583619827826,0.215308629672267,-0.0250593420314198,0.159155712667612,0.166702482376212,-0.119946970927308,-0.0219911020665462,0.0953488276339645,0.104777586960092,0.0903606944851587,0.181957566469197,0.0114464649089632,-0.0834111697221198,0.200408819065634,0.253956635780713,-0.126612625215554,0.361577941032252,-0.164333586008766,-0.0459029204411436,0.198237498444548,0.0773869131262508,0.0818060309523769,0.348474635710576,0.228208412798327,0.437293714758336,0.509479539912921,0.508488270219569,0.545019246342934,0.623180244222365,0.358212603648186,0.180416669270519,0.353217751435482,0.162200839100414,0.60092332819338,0.588324871294061,0.352093507457643,0.470346173554562,0.270911760388505,0.181327972167965,0.277978065225663,0.269865873854072,0.334286951070629,0.420141953589715,0.222211979468963,0.321220809850202,0.336349310668001,0.856424008673132,0.552317586578178,0.17573366078425,0.360806285885817,0.310240011303504,0.479723586747014,0.405607897847241,0.702750837353907,0.121479523774005,0.529237977750939,0.605440215067325,0.231657189718073,0.414229063584589,0.386936307556602,0.281714386789027,0.335633008298971,0.311203724486924,0.0862361959596463,0.423154744930358,0.665007307291845,0.522555523882843,0.62667207903809,0.172613991057856,0.422465441498312,-0.130232341944582,0.227991340888791,0.188221984622925,0.218190021612861,0.367282879279588,-0.0625106824684294,0.243391100152539,0.8339485889367,1.56382318550554,0.728713522424503,-0.0574475194455966,0.531738576237053,0.146378257158676,0.362915682211586
"CB3","CRB","B","100","14",0.405853093420444,0.409403218927962,0.325559129411671,0.32636930830893,0.258741113225905,0.12367334682869,0.304065501166695,0.392294426812351,0.653430644983851,0.345784606083865,0.405856112200723,0.344724072995606,0.133276329554285,0.55970694704418,0.337956087041626,0.499509647234966,0.385675240141261,0.0812477829335334,0.79022882706523,0.36585216829599,0.427747390580014,0.119727265883204,0.465953978469842,0.358719389795949,0.359212295797647,0.331854468775702,0.397963335601335,0.297346943667962,0.603234210324195,0.507342537694619,0.363064127459876,0.439310058714106,0.406278119120681,0.84914669220413,0.53572018289163,0.496047661271481,0.345606164279165,0.397332805077463,0.334861895144852,0.205541642190299,0.881331867039527,0.0881364052227935,0.384433169916548,0.535128213874446,0.351095014350222,0.773299455262482,0.292916969223334,0.557864247362758,0.146664269020758,0.34075587321688,0.626250760043399,0.317866438066416,0.56565341537783,0.490343393236691,0.316641908623349,0.391357061973288,0.235349833002707,0.371189679472702,0.141653792829564,0.322688034132121,-0.120624724445183,0.205609348320299,0.233386132879974,-0.0378447464286706,-0.222948204539237,-0.00280624085847858,0.147788801784721,-0.23691259994653,0.208340435834897,-0.212209989161471,-0.304529716245815,0.0235630221302454,0.137957295136054,0.044745438404588,0.535706525233531,-0.355766883277643,-0.173047553722063,0.316733885129619,0.29049265980334,0.198721005585653,0.413222490464072,0.325809144476144,0.602902475889168,0.725344376004861,0.744052089768177,0.729544191101729,0.897173800397299,0.798313733801436,0.341987072217425,0.610863946743658,0.231470406992095,0.782977035337503,0.708450471790948,0.531786583145442,0.645424000952894,0.450285289930338,0.230126358135303,0.209277032129441,0.375445160679032,0.365353778722454,0.580355202922264,0.293633211735378,0.603979391863852,0.45789977200067,1.22998353841875,0.826332357922276,0.457681279833198,0.354360166252699,0.46455431830082,0.734484750156565,0.57846972434111,0.944689502201313,0.198950845492988,0.675255341655742,0.876544725145544,0.571179668017069,0.50047411724346,0.521123945893356,0.374885022528927,0.461631660944596,0.194803406646544,0.0464617163031509,0.602592123013759,0.655928754588995,0.737316984505049,0.773522240777101,0.326069590235981,0.612912661497599,0.0279197125154864,0.274940711891716,0.438827938965762,0.301343293866664,0.623742999520426,-0.150445507019907,0.327108510022489,0.924192043880241,1.9458316426229,1.00406578837311,0.204777147115434,0.553576481862541,0.162940559947427,0.65905846366388
"CB4","CRB","B","5","40",-0.369748562805994,-0.572395366270846,-0.416802265057159,-0.519048446918269,-0.495301866745034,-0.489850204781161,-1.39876536872455,-0.485320487972151,-0.705431258819105,-0.567581848791116,-0.667955208747744,-0.487855575897526,-0.428170828855326,-1.17994271263018,-0.598368323090337,-0.818420910762518,-1.10449805494211,-0.390575898637552,-0.682123008005361,-0.488213961523769,-0.513790777209247,-0.866885094832842,-0.459077041686047,-0.545934293181401,-0.528895969142998,-0.525042598588168,-0.368559880708172,-0.704049351027574,-0.989838354334923,-0.451097092604403,-0.556628814639352,-0.415713167355386,-0.635008003853856,-0.24081639552569,-0.58600013011789,-0.277071024049071,-0.576957537771295,-0.676773236807258,-0.54347496782479,-0.498102913674621,-0.658046106796269,-0.260330462985217,-0.586245124529832,-0.386735411861101,-0.570325687350589,-0.231588064825689,-0.353171418426852,0.145213227497676,-0.423788116351825,-0.468377136625815,-0.967476513560851,-0.800442133098959,-0.358799655643974,-0.57108317751831,-0.461685346422794,-0.306519033437025,-0.14783143367977,-0.404785795408543,-0.194203986169922,-0.324143400516845,-0.101165081243049,-0.391335184802292,-0.360650394367197,-0.706973860939871,-0.0330556537442925,-0.279463626590226,-0.147375716462876,-0.328397628691449,-0.132417289550646,-0.040655733922641,0.270561097953472,-0.0438414817340966,-0.388860731190211,-0.265754540033126,-0.521864815227343,0.239101108786087,-0.334922974007646,-0.470409564162004,-0.0516909378958976,-0.534020853141989,-0.52295486167536,-0.435988441309688,-0.628593025582867,-0.328697472348926,-0.521633002590238,-0.252839184181745,-0.324348342322327,-1.6532168581326,-0.640120121355829,-0.593677161277487,-0.419627653285095,-0.63234309906325,-0.856377199788296,-0.522942193989885,-0.620149542214797,-0.363177080645599,-0.394688189649926,-0.302863373956586,-0.360949800975678,-0.332201727446439,-0.668744048816321,-0.358007841652605,-0.8552017303353,-0.449898911083828,-1.21878325461358,-0.68560554211003,-0.652566872602718,-0.47589951742255,-0.619416613802252,-0.657213475163707,-0.227089292074773,-0.775666023519642,-0.616400713862714,-0.676822179471739,-0.339208075276372,-0.503980169045505,-0.486759178846561,-0.551222453281072,-0.469870956042935,-0.738399478311059,-0.470171626190105,-0.32018045542575,-0.515565348722115,-0.570916263245594,-0.928322615532933,-0.988205973388663,-0.504375644524112,-0.617998531683205,0.0822609463154,-0.749074998255328,-0.590622330639163,-0.496666738060392,-0.529801833904485,-0.000112327850608551,-0.427771533523607,-1.33572926681806,-0.556813158473695,-0.708935403877143,-0.538966185782259,-0.28023093281585,-0.532251304145958,-0.893108958271934
