"Sample","Strain","Population","PoolSize","Age","Ethanolamine","1-Methylhistamine","Isoleucine","Leucine","Lysine","serine","arginine","Taurine","Pipecolate","Hydroxyproline","4-Guanidinobutanoate","N-Acetylornithine","Homoarginine","Dimethylarginine (A/SDMA)","Phosphocreatine","N-Ac-Arginine","Nicotinic Acid","Erythronic/Threonic Acid","N-Ac-Glutamate","1-Aminocyclopropane-1-carboxylic acid","N6,N6,N6-Trimethyl-L-lysine","4-Aminobenzoic Acid","Phenylacetic Acid","4-Hydroxybenzoic Acid","Aminoacetone","Succinylcarnitine","Cytidine diphosphate choline (CDPcholine)","Indole","Indole-3-Carboxylic Acid","Indoleacrylic acid","S-Adenosylhomocysteine","S-Adenosylmethionine","Deoxyguanosine","Inosine","1-Methyladenosine","5'-Methylthioadenosine","Uridine 5'-monophosphate","NAD","NADPH","FAD","Succinoadenosine","Glutamylarginine","Thymine","Oxypurinol","Cytosine","Glucosamine","Arabitol/Xylitol","Niacinamide","Riboflavin","Folic Acid"
"CA1","CRB","A","5","14",-0.815694724887188,-1.02630632683056,-0.635214861635981,-0.564752928658041,-0.608953046159563,-0.416230925496874,-0.455950176134354,-0.490717773096186,-0.577247122976248,-1.12223922344948,-0.731299864532147,-0.43816718442898,-0.539353060055228,-0.39116399504942,-0.75289453448688,-0.961343180341816,-0.688265725818635,-0.631648371879997,-1.95810937762077,-0.611860688278405,-0.563499339892849,-0.582662115836167,-1.00224973090929,-0.309210983285493,-0.904573600197085,-0.677350883017711,-0.7022654528378,-1.29382232269414,-0.495850432915959,-0.713868716437409,-0.660175791750683,-0.390212669499848,-0.63008959085027,-0.560336634145176,-0.77737314536804,-0.178531513645067,-0.80908461044304,-0.324953694308701,-0.296084949438268,-0.491470685416546,-1.07048371439668,-0.566591221128611,-0.755548526736772,-0.483598314568725,-0.599101897211815,-0.501269777381979,-0.721321411637856,-0.448329345376134,-0.850226908120303,-1.02382167315052
"CA2","CRB","A","50","14",0.0740555469974673,0.297794759444628,0.340534232903685,0.292523240387501,0.22684054981281,0.119472826547382,0.186490020478636,0.142869616640452,0.208120272462358,0.375939825575485,0.334915133054926,0.51453494098976,0.495980679625963,0.468099298485795,0.189963417652615,0.26737868371012,0.113027312260437,0.14651826665546,0.817205446503376,0.254042925515174,0.348483468481972,0.194775680101481,0.215651705323988,0.25388941094878,0.00168312313479291,0.504968415110971,0.294902706682338,0.00573105895031611,0.29755915485645,0.247467857206876,0.283364932166817,0.355310484832824,0.0790000425192536,0.269382412378937,0.27010164342397,0.075458067364611,-0.0276199255963792,0.224712336249547,0.317776846058912,0.200518715793774,0.316304526334708,0.425701974228534,0.345076251949827,0.195148292453944,0.345807656938878,0.190388448127882,0.191682822681569,0.194421226361405,0.200639230392963,0.121715887274417
"CA3","CRB","A","100","14",0.316939852656361,0.641572260007339,0.515264221634045,0.421552500908353,0.396503859741664,0.289970629165678,0.322494904661192,0.2587798573339,0.37064946800879,0.646582290677345,0.387961380378219,1.15033548508135,0.510875469149819,0.407542057368618,0.34336045822378,0.66457607398043,0.286531842512058,0.282064476810694,1.09222692398876,0.452740419553662,0.495867396478538,0.420153845398766,0.578491075328352,0.294705536899166,0.168538896890041,0.411326813125654,0.577551316001416,0.331662064374653,0.387791072161152,0.44692412829109,0.415423352399862,0.556916362133505,0.309959225125358,0.45183453128115,0.338764463324186,0.457414350701566,0.236264051804513,0.222031676856893,0.0045444055313375,0.146121801464501,0.490122956409273,0.618552253118155,0.648025215163979,0.319864450786957,0.645517036465805,0.401898333749472,0.390798632368814,0.324670557411957,0.27710110854168,0.472649203834741
"CA4","CRB","A","5","40",-0.55997058485874,-0.792670847106848,-0.695280124219066,-0.624348935695836,-0.652322450588017,-0.459505122333349,-0.749221683872929,-0.38593931740126,-0.591485304672903,-1.4676701536879,-0.832722178127614,-0.543243664112367,-0.829950881447511,-0.730200552831212,-0.630309338804004,-0.799814103934311,-0.575778314093447,-0.654078802751792,-0.586989606607933,-0.549373400024828,-0.75548073419386,-0.604156763147904,-0.755611687132638,-0.22299932095344,-0.528970513677969,-0.245979374594208,-0.887760900820147,-0.513033266914272,-0.585069838796169,-0.613453219452048,-0.604310836273899,-0.67805625531918,-0.960301892231918,-0.639744190147138,-0.885203979284484,-0.368437623158964,-0.642494088848663,-0.258949564414346,-0.378038169121176,-0.347548782863782,-1.21627169047409,-0.703552756714539,-0.783615398211949,-0.465584618213618,-0.833306533270272,-0.464653169327896,-0.548575603368006,-0.364305314124641,-0.613096591947804,-0.440450379168655
"CA5","CRB","A","50","40",0.271527441351191,0.399779857153888,0.210140961246335,0.129367360623034,0.0983815172521334,0.0199021939616939,0.141354352680375,0.122029828352852,0.100164703712736,-0.104955629328248,0.0478989392608957,-0.0705966366227342,-0.02969707449728,0.0157021230303789,0.228442412736925,0.548064311469318,0.217612604306637,0.235359426883403,0.136334269867464,0.1826085988085,0.0973176662447512,0.197717999244642,0.532568492018385,0.0909559095526835,0.00177824494620538,0.57342608204427,0.401271781849066,0.272043983544858,0.129121122878634,0.227138169313707,0.24301768493123,-0.0388193971009523,0.0294270722310896,0.249434132131428,-0.351465005280287,-0.263925905229836,0.375227770788737,0.214539811866612,0.254878829910061,0.276515588788674,0.297588690596863,0.203437984247858,0.337591585129641,0.302094785627681,-0.0281854501068359,0.287574432249555,0.267764479345264,0.329571306517764,0.360099390667873,0.316378080513732
"CA6","CRB","A","100","40",0.501841413644198,0.724868031508946,0.422133625510273,0.351364632425679,0.339044120605563,0.175015910736774,0.30281180008997,0.23778732817721,0.316938729606057,0.27633145439406,0.211512934517658,0.105817645484139,0.140054380236031,0.142707137757351,0.411432598067375,0.838971627647903,0.419731194990415,0.337554600679973,0.124287660119085,0.370733932509694,0.298098722014115,0.407532493953462,0.817602688946649,0.294334865490537,0.190610631968794,0.762418793725976,0.640417892837553,0.506524995061711,0.154304631034472,0.443401570259667,0.415291143899779,0.164098534305802,0.244230694281407,0.46186476894898,0.276870454056483,0.156574740187629,0.277244061207308,0.162602591588004,-0.0585449192367209,0.216932667639068,0.501919628320395,0.461085724090718,0.514290383601241,0.411210435580551,0.276003432384774,0.444228137132192,0.529648956207434,0.522618781478963,0.548793626556354,0.562251687975871
"CB1","CRB","B","5","14",-0.86842869481156,-1.23406623487908,-0.629706575582966,-0.531893648576231,-0.627416685522777,-0.441364726012379,-0.509774556902332,-0.537549069298512,-0.590943299773995,-1.37163485292297,-0.680819104758382,-0.557757199612938,-0.58960268304662,-0.451612137010541,-0.746239570036221,-0.703331418601024,-0.624908037550968,-0.710784165267874,-1.43492575729674,-0.77552176174733,-0.569554626840983,-0.655540311817308,-1.02310998783306,-0.377702074705817,-0.79519494662943,-1.00267589176586,-0.756648966425429,-1.11962506786974,-0.505049528381697,-0.812138265379671,-0.609584843185111,-0.487033771295159,-0.84143077529129,-0.622590046761754,-0.625877434074209,-0.480310809843272,-0.69839423232283,-0.395014631646241,-0.519404525368381,-0.424018394506605,-1.00963878426835,-0.682030118825727,-0.654878364855408,-0.49222497965023,-0.743909887855823,-0.523475012263375,-0.730438850504551,-0.511819859567201,-0.968617133042165,-1.00383291245919
"CB2","CRB","B","50","14",0.0272268568422733,0.197818674703108,0.287838066145917,0.291768235827538,0.17878811636572,0.0287326798940022,0.153267144109886,0.0862463266220859,0.167789359733243,-0.151358008524897,0.11979773418907,0.753644781065038,0.323044152456817,0.329398555773557,0.156586167186752,0.0668791095299381,0.0805226363699996,0.192961514932151,0.611745988741967,0.141661987160984,0.297311726841414,0.158701879226295,0.215987899586842,0.333758176693499,-0.078876554390388,0.294154554300068,0.419239012508644,0.113006802107531,0.251910686213732,0.190291058337982,0.242137235498157,0.330722350854219,0.101231449486105,0.211517792144084,-0.131985969104653,0.298352602415213,0.233917745694623,0.247231309556796,0.176676219031211,0.138729376480416,0.349563474135922,0.373761848830691,0.207971780201482,0.165220616331156,0.454905668774283,0.13962882037261,0.168742631743084,0.0806395013562069,-0.0232973962722012,0.162430197159041
"CB3","CRB","B","100","14",0.315755390890409,0.545130683324702,0.53295810577906,0.4921231782365,0.413554593477407,0.235872906887537,0.336493775318413,0.250518810254934,0.388195160606346,0.307177127049025,0.342775202856754,1.13524951839242,0.460342815021905,0.407427409197694,0.350860603296804,0.34654393412292,0.262707755847297,0.378243896147005,1.04395531507776,0.378773307016484,0.526711974814805,0.406681819198965,0.611751739566033,0.566084108911979,0.148412114426637,0.300229632328648,0.701529561897072,0.449458139718197,0.397449573791353,0.393570915220439,0.42779635260425,0.565466369340216,0.354106110055191,0.460960691005528,0.452533710237371,0.488625096377362,0.328635989119455,0.248624597995306,0.0226978398787403,0.107300710261661,0.674193846109724,0.587855010853614,0.394596874692023,0.325056838147654,0.790412868763899,0.314799524522937,0.463811272599967,0.31632120682839,0.25147962268215,0.427975882589931
"CB4","CRB","B","5","40",-0.573850845162423,-0.763858905112359,-0.625491050114758,-0.533100999252985,-0.547104800447182,-0.441328689462394,-0.435267791485375,-0.446507741549461,-0.507708818484492,-1.39097184905697,-0.925991282957362,-0.47541176457741,-0.760285244346656,-0.698166313166086,-0.593296876414432,-1.06430016238724,-0.530427491274742,-0.581225636829102,-0.471356622958665,-0.595698343103297,-0.57899230898616,-0.592172282331908,-0.763138235335418,-0.210201029498543,-0.528755343310328,-0.295123059350437,-0.76295898479684,-0.647851394123663,-0.549920270613192,-0.650108137587432,-0.546455424109568,-0.543226227628238,-0.679673968659797,-0.586703888710932,-0.908167626625392,-0.404561598842688,-0.338131206685378,-0.272877675729351,-0.302743253095943,-0.296410932279441,-0.90695468652018,-0.719007301774736,-0.850816592677851,-0.448204221143299,-0.816472537359881,-0.435783281094843,-0.566126931783463,-0.399844508958861,-0.703575206268569,-0.702239751189725
